# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Sold Out | {3}{B} | Instant | - | RMVL | Exile target creature. If it was dealt damage this turn, create a Clue token.
Sizzling Changeling | {2}{R} | Creature - Shapeshifter | - |  | Changeling / When this creature dies, exile the top card of your library. Until the end of your next turn, you may play that card.
Ratcatcher Trainee // Pest Problem | {1}{R} // {2}{R} | Creature - Human Peasant // Instant — Adventure | - |  | During your turn, this creature has first strike. / // / Create two 1/1 black Rat creature tokens with "This token can't block."
Expose the Culprit | {1}{R} | Instant | - |  | Choose one or both — / • Turn target face-down creature face up. / • Exile any number of face-up creatures you control with disguise in a face-down pile, shuffle that pile, then cloak them.
Ruinous Waterbending | {1}{B}{B} | Sorcery - Lesson | - |  | As an additional cost to cast this spell, you may waterbend {4}. / All creatures get -2/-2 until end of turn. If this spell's additional cost was paid, whenever a creature dies this turn, yo
Torch the Tower | {R} | Instant | - | RMVL | Bargain / Torch the Tower deals 2 damage to target creature or planeswalker. If this spell was bargained, instead it deals 3 damage to that permanent and you scry 1. / If a permanent dealt d
Fear of Being Hunted | {1}{R}{R} | Enchantment Creature - Nightmare | - |  | Haste / This creature must be blocked if able.
Foolish Fate | {2}{B} | Instant | - | RMVL | Destroy target creature. / Infusion — If you gained life this turn, that creature's controller loses 3 life.
Blighted Blackthorn | {4}{B} | Creature - Treefolk Warlock | - |  | Whenever this creature enters or attacks, you may blight 2. If you do, you draw a card and lose 1 life.
Squirrelanoids | {B} | Creature - Squirrel Mutant | - |  | Deathtouch
Steel Wrecking Ball | {5} | Artifact | - | RMVL | When this artifact enters, it deals 5 damage to target creature. / {1}{R}, Discard this card: Destroy target artifact.
Infernal Captor | {3}{R} | Creature - Devil Rogue | - |  | Exploit / When this creature exploits a creature, gain control of target artifact or creature until end of turn. Untap that permanent. It gains haste until end of turn.
Terrapact Intimidator | {1}{R} | Creature - Kavu Scout | - |  | When this creature enters, target opponent may have you create two Lander tokens. If they don't, put two +1/+1 counters on this creature.
Dependable Quinjet | {3} | Artifact - Vehicle | - |  | Flying / {T}: Add one mana of any color. / Crew 4
Plasma Bolt | {R} | Sorcery | - | PING | Plasma Bolt deals 2 damage to any target. / Void — Plasma Bolt deals 3 damage instead if a nonland permanent left the battlefield this turn or a spell was warped this turn.
Burn Bright | {2}{R} | Instant | - |  | Creatures you control get +2/+0 until end of turn.
Razorkin Hordecaller | {4}{R} | Creature - Human Clown Berserker | - |  | Haste / Whenever you attack, create a 1/1 red Gremlin creature token.
Rig for War | {1}{R} | Instant | - |  | Target creature gets +3/+0 and gains reach and first strike until end of turn.
Requiting Hex | {B} | Instant | - | RMVL | As an additional cost to cast this spell, you may blight 1. / Destroy target creature with mana value 2 or less. If this spell's additional cost was paid, you gain 2 life.
Dubious Delicacy | {2}{B} | Artifact - Food | - |  | Flash / When this artifact enters, up to one target creature gets -3/-3 until end of turn. / {2}, {T}, Sacrifice this artifact: You gain 3 life. / {2}, {T}, Sacrifice this artifact: Target o
Callous Inspector | {B} | Creature - Human Soldier | - |  | Menace / When this creature dies, it deals 1 damage to you. Create a Clue token.
Courageous Goblin | {1}{R} | Creature - Goblin | - |  | Whenever this creature attacks while you control a creature with power 4 or greater, this creature gets +1/+0 and gains menace until end of turn.
Wither and Bloom | {1}{B} | Instant | - |  | Target creature gets -3/-3 until end of turn. / {1}{B}, Exile this card from your graveyard: Put a +1/+1 counter on target creature you control. Activate only as a sorcery.
Dragon's Prey | {2}{B} | Instant | - | RMVL | This spell costs {2} more to cast if it targets a Dragon. / Destroy target creature.
Gila Courser | {2}{R} | Creature - Lizard Mount | - |  | Whenever this creature attacks while saddled, exile the top card of your library. Until the end of your next turn, you may play that card. / Saddle 1
Oreplate Pangolin | {1}{R} | Artifact Creature - Robot Pangolin | - |  | Whenever another artifact you control enters, you may pay {1}. If you do, put a +1/+1 counter on this creature.
Volatile Wanderglyph | {1}{R} | Artifact Creature - Golem | - | CANTRIP | Whenever this creature becomes tapped, you may discard a card. If you do, draw a card.
Yuyan Archers | {1}{R} | Creature - Human Archer | - | CANTRIP | Reach / When this creature enters, you may discard a card. If you do, draw a card.
Treetop Freedom Fighters | {2}{R} | Creature - Human Rebel Ally | - |  | Haste / When this creature enters, create a 1/1 white Ally creature token.
Etched Familiar | {2}{B} | Artifact Creature - Phyrexian Fox | - |  | When this creature dies, each opponent loses 2 life and you gain 2 life.
Caustic Exhale | {B} | Instant | - |  | As an additional cost to cast this spell, behold a Dragon or pay {1}. / Target creature gets -3/-3 until end of turn.
Taster of Wares | {2}{B} | Creature - Goblin Warlock | - |  | When this creature enters, target opponent reveals X cards from their hand, where X is the number of Goblins you control. You choose one of those cards. That player exiles it. If an instant 
Cheerful Osteomancer // Raise Dead | {3}{B} // {B} | Creature - Orc Warlock // Sorcery | - |  | This creature enters prepared. / // / Return target creature card from your graveyard to your hand.
Wreck Remover | {4} | Artifact Creature - Construct | - |  | Whenever this creature enters or attacks, exile up to one target card from a graveyard. You gain 1 life. / Cycling {2}
Together as One | {6} | Sorcery | - | PING | Converge — Target player draws X cards, Together as One deals X damage to any target, and you gain X life, where X is the number of colors of mana spent to cast this spell.
Moment of Craving | {1}{B} | Instant | - |  | Target creature gets -2/-2 until end of turn. You gain 2 life.
Boldwyr Aggressor | {3}{R}{R} | Creature - Giant Warrior | - |  | Double strike / Other Giants you control have double strike.
Wildfire Howl | {1}{R}{R} | Sorcery | - | PING,RMVL | Gift a card / Wildfire Howl deals 2 damage to each creature. If the gift was promised, instead Wildfire Howl deals 1 damage to any target and 2 damage to each creature.
Dragon Trainer | {3}{R}{R} | Creature - Human | - |  | When this creature enters, create a 4/4 red Dragon creature token with flying.
Grim Bauble | {B} | Artifact | - |  | When this artifact enters, target creature an opponent controls gets -2/-2 until end of turn. / {2}{B}, {T}, Sacrifice this artifact: Surveil 2.
Swarm Culler | {3}{B} | Creature - Insect Warrior | - |  | Flying / Whenever this creature becomes tapped, you may sacrifice another creature or artifact. If you do, draw a card.
Barbed Bloodletter | {1}{B} | Artifact - Equipment | - |  | Flash / When this Equipment enters, attach it to target creature you control. That creature gains wither until end of turn. / Equipped creature gets +1/+2. / Equip {2}
Gixian Infiltrator | {1}{B} | Creature - Phyrexian Human | - |  | Whenever you sacrifice another permanent, put a +1/+1 counter on this creature.
Hellspur Brute | {4}{R} | Creature - Minotaur Mercenary | - |  | Affinity for outlaws / Trample
Insatiable Skittermaw | {2}{B} | Creature - Insect Horror | - |  | Menace / Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, put a +1/+1 counter on this creature.
Bedhead Beastie | {4}{R}{R} | Creature - Beast | - |  | Menace / Mountaincycling {2}
Galvanizing Sawship | {5}{R} | Artifact - Spacecraft | - |  | Station / 3+ | Flying, haste
Kavaron Harrier | {R} | Artifact Creature - Robot Soldier | - |  | Whenever this creature attacks, you may pay {2}. If you do, create a 2/2 colorless Robot artifact creature token that's tapped and attacking. Sacrifice that token at end of combat.
Outpace Oblivion | {2}{R} | Enchantment | - |  | Start your engines! / When this enchantment enters, it deals 5 damage to up to one target creature or planeswalker. / {2}, Sacrifice this enchantment: It deals 2 damage to each player who do
Impractical Joke | {R} | Sorcery | - |  | Damage can't be prevented this turn. Impractical Joke deals 3 damage to up to one target creature or planeswalker.
Deserter's Disciple | {1}{R} | Creature - Human Rebel Ally | - |  | {T}: Another target creature you control with power 2 or less can't be blocked this turn.
Dose of Dawnglow | {4}{B} | Instant | - |  | Return target creature card from your graveyard to the battlefield. Then if it isn't your main phase, blight 2.
Purple Pentapus | {B} | Creature - Octopus Starfish | - |  | When this creature enters, surveil 1. / {2}{B}, Tap an untapped creature you control: Return this card from your graveyard to the battlefield tapped.
Burrog Banemaker | {B} | Creature - Frog Warlock | - |  | Deathtouch / {1}{B}: This creature gets +1/+1 until end of turn.
Boom Box | {2} | Artifact | - |  | {6}, {T}, Sacrifice this artifact: Destroy up to one target artifact, up to one target creature, and up to one target land.
Spider-Islanders | {3}{R} | Creature - Spider Horror Citizen | - |  | Mayhem {1}{R}
Agonizing Remorse | {1}{B} | Sorcery | - |  | Target opponent reveals their hand. You choose a nonland card from it or a card from their graveyard. Exile that card. You lose 1 life.
Superior Foes of Spider-Man | {2}{R} | Creature - Human Rogue Villain | - | CAST-TRIG | Trample / Whenever you cast a spell with mana value 4 or greater, you may exile the top card of your library. If you do, you may play that card until you exile another card with this creatur
Possibility Technician | {2}{R} | Creature - Kavu Artificer | - |  | Whenever this creature or another Kavu you control enters, exile the top card of your library. For as long as that card remains exiled, you may play it if you control a Kavu. / Warp {1}{R}
Fire Nation Engineer | {2}{B} | Creature - Human Artificer | - |  | Raid — At the beginning of your end step, if you attacked this turn, put a +1/+1 counter on another target creature or Vehicle you control.
Soulbright Seeker | {R} | Creature - Elemental Sorcerer | - |  | As an additional cost to cast this spell, behold an Elemental or pay {2}. / {R}: Target creature you control gains trample until end of turn. If this is the third time this ability has resol
Fatal Fissure | {1}{B} | Instant | - |  | Choose target creature. When that creature dies this turn, you earthbend 4.
Torch the Witness | {X}{R} | Sorcery | - | DMG2X | Torch the Witness deals twice X damage to target creature. If excess damage was dealt to that creature this way, investigate.
Swampsnare Trap | {2}{B} | Enchantment - Aura | - |  | This spell costs {1} less to cast if it targets a creature with flying. / Enchant creature / Enchanted creature gets -5/-3.
Ultron Drone | {3} | Artifact Creature - Robot Villain | - |  | Power-up — {6}: Put two +1/+1 counters on this creature and create a 2/2 colorless Robot Villain artifact creature token.
Dissection Practice | {B} | Instant | - |  | Target opponent loses 1 life and you gain 1 life. / Up to one target creature gets +1/+1 until end of turn. / Up to one target creature gets -1/-1 until end of turn.
End of the Hunt | {1}{B} | Sorcery | - |  | Target opponent exiles a creature or planeswalker they control with the greatest mana value among creatures and planeswalkers they control.
Broadcast Takeover | {2}{R}{R}{R} | Sorcery | - |  | Gain control of all artifacts your opponents control until end of turn. Untap them. They gain haste until end of turn.
Reckless Velocitaur | {3}{R} | Creature - Minotaur Pilot | - |  | Whenever this creature saddles a Mount or crews a Vehicle during your main phase, that Mount or Vehicle gets +2/+0 and gains trample until end of turn.
Shambling Cie'th | {2}{B} | Creature - Mutant Horror | - | CAST-TRIG | This creature enters tapped. / Whenever you cast a noncreature spell, you may pay {B}. If you do, return this card from your graveyard to your hand.
Neutralize the Guards | {2}{B} | Instant | - |  | Creatures target opponent controls get -1/-1 until end of turn. Surveil 2.
Cinder Strike | {R} | Sorcery | - | RMVL | As an additional cost to cast this spell, you may blight 1. / Cinder Strike deals 2 damage to target creature. It deals 4 damage to that creature instead if this spell's additional cost was 
Skybox Ferry | {5} | Artifact - Vehicle | - |  | Flying / Crew 2 / Cycling {2}
Debris Field Crusher | {4}{R} | Artifact - Spacecraft | - | PING | When this Spacecraft enters, it deals 3 damage to any target. / Station / 8+ | Flying / {1}{R}: This Spacecraft gets +2/+0 until end of turn.
Mage Hunter | {3}{B} | Creature - Horror | - |  | Whenever an opponent casts or copies an instant or sorcery spell, they lose 1 life.
Last Gasp | {1}{B} | Instant | - |  | Target creature gets -3/-3 until end of turn.
Boundary Lands Ranger | {1}{R} | Creature - Human Ranger | - | CANTRIP | At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may discard a card. If you do, draw a card.
Mine Raider | {2}{R} | Creature - Human Rogue | - | TREAS | Trample / When this creature enters, if you control another outlaw, create a Treasure token.
Hidetsugu's Second Rite | {3}{R} | Instant | - |  | If target player has exactly 10 life, Hidetsugu's Second Rite deals 10 damage to that player.
Locust Spray | {B} | Instant | - |  | Target creature gets -1/-1 until end of turn. / Cycling {B}
Greasewrench Goblin | {R} | Creature - Goblin Artificer | - |  | Exhaust — {2}{R}: Discard up to two cards, then draw that many cards. Put a +1/+1 counter on this creature.
Territorial Bruntar | {4}{R}{R} | Creature - Beast | - |  | Reach / Landfall — Whenever a land you control enters, exile cards from the top of your library until you exile a nonland card. You may cast that card this turn.
Caught Red-Handed | {4}{R} | Instant | - |  | This spell can't be countered. / Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Suspect it.
Catalyst Elemental | {2}{R} | Creature - Elemental | - | MANA | Sacrifice this creature: Add {R}{R}.
Galvanize | {1}{R} | Instant | - | RMVL | Galvanize deals 3 damage to target creature. If you've drawn two or more cards this turn, Galvanize deals 5 damage to that creature instead.
Seismic Rupture | {2}{R} | Sorcery | - | RMVL | Seismic Rupture deals 2 damage to each creature without flying.
Red Tiger Mechan | {3}{R} | Artifact Creature - Robot Cat | - |  | Haste / Warp {1}{R}
Fire-Rim Form | {1}{R} | Enchantment - Aura | - |  | Flash / Enchant creature / When this Aura enters, enchanted creature gains first strike until end of turn. / Enchanted creature gets +2/+0.
Betrayer's Bargain | {1}{R} | Instant | - | RMVL | As an additional cost to cast this spell, sacrifice a creature or enchantment or pay {2}. / Betrayer's Bargain deals 5 damage to target creature. If that creature would die this turn, exile 
Tweeze | {2}{R} | Instant | - | PING | Tweeze deals 3 damage to any target. You may discard a card. If you do, draw a card.
Etched Slith | {1}{B} | Artifact Creature - Phyrexian Slith | - |  | Menace / Whenever this creature deals combat damage to a player, put a +1/+1 counter on it. When you do, you may remove a counter from another target permanent or opponent.
Billowing Shriekmass | {3}{B} | Creature - Spirit | - |  | Flying / When this creature enters, mill three cards. / Threshold — This creature gets +2/+1 as long as there are seven or more cards in your graveyard.
Stark Industries Executive | {R} | Creature - Human Advisor | - | TREAS | {2}, {T}: Create a Treasure token.
Artistic Process | {3}{R}{R} | Sorcery | - | RMVL | Choose one — / • Artistic Process deals 6 damage to target creature. / • Artistic Process deals 2 damage to each creature you don't control. / • Create a 3/3 blue and red Elemental creature 
Shocker, Unshakable | {4}{R}{R} | Legendary Creature - Human Rogue Villain | - | RMVL | During your turn, Shocker has first strike. / Vibro-Shock Gauntlets — When Shocker enters, he deals 2 damage to target creature and 2 damage to that creature's controller.
Hellish Sideswipe | {B} | Sorcery | - | CANTRIP,RMVL | As an additional cost to cast this spell, sacrifice an artifact or creature. / Destroy target creature or Vehicle. If the sacrificed permanent was a Vehicle, draw a card.
Ruin Raider | {2}{B} | Creature - Orc Pirate | - |  | Raid — At the beginning of your end step, if you attacked this turn, reveal the top card of your library and put that card into your hand. You lose life equal to the card's mana value.
Dream Seizer | {3}{B} | Creature - Faerie Rogue | - |  | Flying / When this creature enters, you may blight 1. If you do, each opponent discards a card.
Reiterating Bolt | {1}{R} | Sorcery | - | RMVL | Replicate—Pay {E}{E}{E}. / Reiterating Bolt deals 3 damage to target creature or planeswalker.
Fire Nation Warship | {3} | Artifact - Vehicle | - |  | Reach / When this Vehicle dies, create a Clue token. / Crew 2
Stegron the Dinosaur Man | {4}{R} | Legendary Creature - Dinosaur Villain | - |  | Menace / Dinosaur Formula — {1}{R}, Discard this card: Until end of turn, target creature you control gets +3/+1 and becomes a Dinosaur in addition to its other types.
Casey Jones, Jury-Rig Justiciar | {1}{R} | Legendary Creature - Human Berserker | - |  | Haste / When Casey Jones enters, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your lib
Machinesmith Automaton | {2}{R} | Artifact Creature - Robot Villain | - |  | Trample / Whenever another artifact you control enters, put a +1/+1 counter on this creature.
Depressurize | {1}{B} | Instant | - |  | Target creature gets -3/-0 until end of turn. Then if that creature's power is 0 or less, destroy it.
Foraging Wickermaw | {2} | Artifact Creature - Scarecrow | - |  | When this creature enters, surveil 1. / {1}: Add one mana of any color. This creature becomes that color until end of turn. Activate only once each turn.
Jade-Cast Sentinel | {4} | Artifact Creature - Ape Snake | - |  | Reach / {2}, {T}: Put target card from a graveyard on the bottom of its owner's library.
Ruthless Waterbender | {1}{B} | Creature - Human Soldier Ally | - |  | Waterbend {2}: This creature gets +1/+1 until end of turn. Activate only during your turn.
Outlaws' Fury | {2}{R} | Instant | - |  | Creatures you control get +2/+0 until end of turn. If you control an outlaw, exile the top card of your library. Until the end of your next turn, you may play that card.
Raphael, Most Attitude | {3}{R} | Legendary Creature - Mutant Ninja Turtle | - |  | Menace / Alliance — Whenever another creature you control enters, you may exile the top card of your library. / Whenever Raphael attacks, until end of turn, you may play a card exiled with R
Manhole Missile | {1}{R} | Instant | - | CANTRIP,RMVL | Manhole Missile deals 3 damage to target creature. You may put a card from your hand on the bottom of your library. If you do, draw a card.
Bear Trap | {1} | Artifact | - | RMVL | Flash / {3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature.
Dinotomaton | {3}{R} | Artifact Creature - Dinosaur Gnome | - |  | Menace / When this creature enters, target creature you control gains menace until end of turn.
Sting-Slinger | {2}{R} | Creature - Goblin Warrior | - | PING | {1}{R}, {T}, Blight 1: This creature deals 2 damage to each opponent.
Comet Crawler | {2}{B} | Creature - Insect Horror | - |  | Lifelink / Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, this creature gets +2/+0 until end of turn.
Stolen Stark Tech | {1}{B} | Artifact - Equipment | - |  | Flash / When this Equipment enters, attach it to target creature you control. That creature gains indestructible until end of turn. / Equipped creature gets +1/+0. / Equip {1}
Qutrub Forayer | {2}{B} | Creature - Zombie Horror | - | RMVL | When this creature enters, choose one — / • Destroy target creature that was dealt damage this turn. / • Exile up to two target cards from a single graveyard.
Conductive Machete | {4} | Artifact - Equipment | - |  | When this Equipment enters, manifest dread, then attach this Equipment to that creature. / Equipped creature gets +2/+1. / Equip {4}
Pigment Wrangler // Striking Palette | {4}{R} // {R} | Creature - Orc Sorcerer // Sorcery | - | COPY | Flying / This creature enters prepared. / // / When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.
Hunt for Specimens | {1}{B} | Sorcery | - |  | Create a 1/1 black and green Pest creature token with "When this token dies, you gain 1 life." / Learn.
Iron Man, Tony Stark | {3}{R}{R} | Legendary Artifact Creature - Human Hero | - | CAST-TRIG | Flying / Attacking creatures you control get +1/+0. / Whenever you cast a red spell, create a 2/1 colorless Robot Hero artifact creature token with flying.
Ego Drain | {B} | Sorcery | - |  | Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. If you don't control a Faerie, exile a card from your hand.
Echo of Dusk | {1}{B} | Creature - Vampire Spirit | - |  | Descend 4 — As long as there are four or more permanent cards in your graveyard, this creature gets +1/+1 and has lifelink.
Kindled Fury | {R} | Instant | - |  | Target creature gets +1/+0 and gains first strike until end of turn.
Perfect Intimidation | {3}{B} | Sorcery | - |  | Choose one or both — / • Target opponent exiles two cards from their hand. / • Remove all counters from target creature.
Goblin Firebomb | {1} | Artifact | - | RMVL | Flash / {7}, {T}, Sacrifice this artifact: Destroy target permanent.
Akki Ember-Keeper | {1}{R} | Enchantment Creature - Goblin Warrior | - |  | Whenever a nontoken modified creature you control dies, create a 1/1 colorless Spirit creature token.
Kavaron Turbodrone | {2}{R} | Artifact Creature - Robot Scout | - |  | {T}: Target creature you control gets +1/+1 and gains haste until end of turn. Activate only as a sorcery.
War Balloon | {2}{R} | Artifact - Vehicle | - |  | Flying / {1}: Put a fire counter on this Vehicle. / As long as this Vehicle has three or more fire counters on it, it's an artifact creature. / Crew 3
Attack-in-the-Box | {3} | Artifact Creature - Toy | - |  | Whenever this creature attacks, you may have it get +4/+0 until end of turn. If you do, sacrifice it at the beginning of the next end step.
Mongoose Lizard | {4}{R}{R} | Creature - Mongoose Lizard | - | PING | Menace / When this creature enters, it deals 1 damage to any target. / Mountaincycling {2}
Sengir Vampire | {3}{B}{B} | Creature - Vampire | - |  | Flying / Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature.
Death in the Family | {1}{B} | Instant | - | RMVL | Exile target creature with mana value 3 or less.
Vote Out | {3}{B} | Sorcery | - | RMVL | Convoke / Destroy target creature.
Deathless Pilot | {1}{B} | Creature - Zombie Pilot | - |  | This creature saddles Mounts and crews Vehicles as though its power were 2 greater. / {3}{B}: Return this card from your graveyard to your hand.
Sibling Rivalry | {3}{R} | Sorcery | - |  | Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn. Create a tapped Powerstone token.
Feed the Flames | {3}{R} | Instant | - | RMVL | Feed the Flames deals 5 damage to target creature. If that creature would die this turn, exile it instead.
Tundra Tank | {2}{B} | Artifact - Vehicle | - |  | Firebending 1 / When this Vehicle enters, target creature you control gains indestructible until end of turn. / Crew 1
Lecturing Scornmage | {B} | Creature - Human Warlock | - | CAST-TRIG | Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on this creature.
Rescue Leopard | {2}{R} | Creature - Cat | - |  | Whenever this creature becomes tapped, you may discard a card. If you do, draw a card.
Magnetic Snuffler | {5} | Artifact Creature - Construct | - |  | When this creature enters, return target Equipment card from your graveyard to the battlefield attached to this creature. / Whenever you sacrifice an artifact, put a +1/+1 counter on this cr
Paramecia Coloniex | {1}{B} | Creature - Zombie Worm | - |  | When this creature enters, mill three cards. / When this creature dies, you may exile it. When you do, put target creature card from your graveyard on top of your library.
Kav Landseeker | {3}{R} | Creature - Kavu Soldier | - |  | Menace / When this creature enters, create a Lander token. At the beginning of the end step on your next turn, sacrifice that token.
Chaos Spewer | {2}{B/R} | Creature - Goblin Warlock | - |  | When this creature enters, you may pay {2}. If you don't, blight 2.
Angry Rabble | {1}{R} | Creature - Human Citizen | - | CAST-TRIG,PING | Trample / Whenever you cast a spell with mana value 4 or greater, this creature deals 1 damage to each opponent. / {5}{R}: Put two +1/+1 counters on this creature. Activate only as a sorcery
Mudbutton Cursetosser | {B} | Creature - Goblin Warlock | - | RMVL | As an additional cost to cast this spell, behold a Goblin or pay {2}. / This creature can't block. / When this creature dies, destroy target creature an opponent controls with power 2 or les
Gilacorn | {B} | Creature - Lizard | - |  | Deathtouch
Walking Sarcophagus | {2} | Artifact Creature - Zombie Cat | - |  | Start your engines! / Max speed — This creature gets +1/+2.
Immortal Phoenix | {4}{R}{R} | Creature - Phoenix | - |  | Flying / When this creature dies, return it to its owner's hand.
Beetle-Headed Merchants | {4}{B} | Creature - Human Citizen | - |  | Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, draw a card and put a +1/+1 counter on this creature.
Cat-Gator | {6}{B} | Creature - Fish Crocodile | - |  | Lifelink / When this creature enters, it deals damage equal to the number of Swamps you control to any target.
Essence Infusion | {1}{B} | Sorcery | - |  | Put two +1/+1 counters on target creature. It gains lifelink until end of turn.
Foot Mystic | {3}{B} | Creature - Human Ninja Warlock | - |  | Lifelink / Disappear — When this creature enters, if a permanent left the battlefield under your control this turn, create a 1/1 black Ninja creature token.
Scathing Shadelock // Venomous Words | {4}{B} // {B} | Creature - Snake Warlock // Sorcery | - |  | At the beginning of your first main phase, this creature becomes prepared. / // / Target creature you control gets +2/+0 and gains deathtouch until end of turn.
Sokenzan Smelter | {1}{R} | Creature - Goblin Artificer | - |  | At the beginning of combat on your turn, you may pay {1} and sacrifice an artifact. If you do, create a 3/1 red Construct artifact creature token with haste.
Defiant Salvager | {2}{B} | Creature - Aetherborn Artificer | - |  | Sacrifice an artifact or creature: Put a +1/+1 counter on this creature. Activate only as a sorcery.
Spider-Slayer, Hatred Honed | {2} | Legendary Artifact Creature - Human Villain | - |  | Whenever Spider-Slayer deals damage to a Spider, destroy that creature. / {6}, Exile this card from your graveyard: Create two tapped 1/1 colorless Robot artifact creature tokens with flying
Charging Strifeknight | {2}{R} | Creature - Spirit Knight | - |  | Haste / {T}, Discard a card: Draw a card.
Powerstone Fracture | {1}{B} | Sorcery | - | RMVL | As an additional cost to cast this spell, sacrifice an artifact or creature. / Destroy target creature or planeswalker.
News Helicopter | {3} | Artifact Creature - Construct | - |  | Flying / When this creature enters, create a 1/1 green and white Human Citizen creature token.
Malevolent Chandelier | {6} | Artifact Creature - Construct | - |  | Flying / {2}: Put target card from a graveyard on the bottom of its owner's library. Activate only as a sorcery.
Wickerfolk Indomitable | {3}{B} | Artifact Creature - Scarecrow | - |  | You may cast this card from your graveyard by paying 2 life and sacrificing an artifact or creature in addition to paying its other costs.
Volcanic Dragon | {4}{R}{R} | Creature - Dragon | - |  | Flying, haste
Casey Jones, Vigilante | {1}{R}{R} | Legendary Creature - Human Berserker | - |  | When Casey Jones enters, draw three cards. At the beginning of your next upkeep, discard three cards at random.
Maelstrom Artisan // Rocket Volley | {1}{R}{R} // {1}{R} | Creature - Minotaur Sorcerer // Sorcery | - | RMVL | Haste / This creature enters prepared. / // / Destroy target nonbasic land.
Decoy Ploy | {1}{B} | Instant | - |  | Choose one or both — / • Return target Villain card from your graveyard to your hand. / • Return target Hero card from your graveyard to your hand.
Disturbing Mirth | {B}{R} | Enchantment | - |  | When this enchantment enters, you may sacrifice another enchantment or creature. If you do, draw two cards. / When you sacrifice this enchantment, manifest dread.
Hotfoot Gnome | {2}{R} | Artifact Creature - Gnome | - |  | Haste / {T}: Another target creature gains haste until end of turn.
Gixian Skullflayer | {2}{B} | Creature - Phyrexian Human Assassin | - |  | At the beginning of your upkeep, if there are three or more creature cards in your graveyard, put a +1/+1 counter on this creature.
Tackle Artist | {3}{R} | Creature - Orc Sorcerer | - | CAST-TRIG | Trample / Opus — Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature. If five or more mana was spent to cast that spell, put two +1/+1 counters on this creatu
Dream Spoilers | {3}{B} | Creature - Faerie Warlock | - | CAST-TRIG | Flying / Whenever you cast a spell during an opponent's turn, up to one target creature an opponent controls gets -1/-1 until end of turn.
Kulrath Zealot | {5}{R} | Creature - Elemental Warrior | - |  | When this creature enters, exile the top card of your library. Until the end of your next turn, you may play that card. / Basic landcycling {1}{R}
Shivan Branch-Burner | {5}{R}{R} | Creature - Dragon | - |  | Convoke / Flying, haste
Meek Attack | {2}{R} | Enchantment | - |  | {1}{R}: You may put a creature card with total power and toughness 5 or less from your hand onto the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice 
Traumatic Revelation | {1}{B} | Sorcery | - |  | Target opponent reveals their hand. You may choose a creature or battle card from it. If you do, that player discards that card. If you don't, incubate 3.
Gutsplitter Gang | {3}{B} | Creature - Goblin Berserker | - |  | At the beginning of your first main phase, you may blight 2. If you don't, you lose 3 life.
Tokka & Rahzar, Terrible Twos | {B/R}{B/R} | Legendary Creature - Turtle Wolf Mutant | - |  | This spell can't be countered. / Menace / Whenever a player casts a spell, if the amount of mana spent to cast it was less than its mana value, Tokka & Rahzar deal 3 damage to that player.
Camera Launcher | {3} | Artifact Creature - Construct | - |  | Exhaust — {3}: Put a +1/+1 counter on this creature. Create a 1/1 colorless Thopter artifact creature token with flying.
Blood Spatter Analysis | {B}{R} | Enchantment | - | RMVL | When this enchantment enters, it deals 3 damage to target creature an opponent controls. / Whenever one or more creatures die, mill a card and put a bloodstain counter on this enchantment. T
Start from Scratch | {2}{R} | Sorcery - Lesson | - | PING,RMVL | Choose one — / • Start from Scratch deals 1 damage to any target. / • Destroy target artifact.
Strixhaven Skycoach | {3} | Artifact - Vehicle | - |  | Flying / When this Vehicle enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle. / Crew 2
Temporal Intervention | {2}{B} | Sorcery | - |  | Void — This spell costs {2} less to cast if a nonland permanent left the battlefield this turn or a spell was warped this turn. / Target opponent reveals their hand. You choose a nonland car
Photon Blast Barrage | {X}{R}{R} | Sorcery | - | RMVL | When you cast this spell, copy it X times. You may choose new targets for the copies. / Photon Blast Barrage deals 1 damage to target creature.
